"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Clinical Reference Laboratory, Inc.","KS","Healthcare Provider","979","04/09/2014","Loss","Paper/Films","No","The covered entity (CE), Clinical Reference Laboratory, Inc., reported that an impermissible breach of protected health information PHI occurred on or about February 6, 2014, which affected approximately 979 individuals.  The CE's investigation revealed that a parcel addressed to Nationwide Mutual Insurance Company, was damaged and opened during the mailing process by the United States Postal Service.  The types of PHI in the parcel included names, dates of birth, partial social security numbers, and lab test types.  Since OCR received multiple breach reports involving the same CE and fact pattern, this investigation was closed and consolidated into one OCR investigation."
"Cigna","CT","Business Associate","527","04/09/2014","Loss","Paper/Films","Yes","\N"
"Amerigroup Texas, Inc. ","VA","Business Associate","75026","04/10/2014","Theft","Paper/Films","Yes","\N"
"BLUE CROSS AND BLUE SHIELD OF KANSAS CITY","MO","Health Plan","2546","04/11/2014","Unauthorized Access/Disclosure","Other","No","\N"
"University Urology, P.C.","TN","Healthcare Provider","1144","04/14/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Healthy Connections, Inc","CA","Healthcare Provider","793","04/14/2014","Loss","Other Portable Electronic Device","No","\N"
"IHS","MD","Health Plan","5000","04/15/2014","Unauthorized Access/Disclosure","Other","No","\N"
"Triple S Salud Inc.","PR","Business Associate","7911","04/15/2014","Theft","Other Portable Electronic Device","Yes",""
"Greenwood Leflore Hospital","MS","Healthcare Provider","3750","04/16/2014","Theft","Other","No","\N"
"Service Coordination, Inc.","MD","Business Associate","10766","04/17/2014","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.","GA","Business Associate","2523","04/17/2014","Theft, Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Shaker Clinic","OH","Healthcare Provider","617","04/18/2014","Loss","Paper/Films","No","\N"
"VGM Homelink","IA","","1400","04/18/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","A business associate (BA) of the covered entity (CE), VGM Homelink, committed a programing error causing approximately 1,400 individuals to receive the wrong billing statements.  The types of protected health information (PHI) involved in the breach included patient’s names, addresses, insurances, and the medical equipment provided to them.  The CE provided breach notification to HHS, affected individuals, and the media, and also posted a notice on its website,  Following the breach, the CE required its BA to implement new safeguards. As a result of OCR’s investigation, the CE had its BA update its policy and procedures for Breach Rule Notification."
"Larsen Dental Care LLC","ID","Healthcare Provider","6900","04/18/2014","Theft","Other Portable Electronic Device","No","\N"
"Centura Health","CO","Healthcare Provider","12286","04/22/2014","Hacking/IT Incident","Email","No","\N"
"Ladies First Choice, Inc.","FL","Healthcare Provider","2365","04/23/2014","Theft, Unauthorized Access/Disclosure","Laptop","No","\N"
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ","MA","Health Plan","8830","04/24/2014","Theft","Other","No","\N"
"Inclusion Research Institute","DC","Business Associate","2200","04/24/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Willis North America Inc. Medical Expense Benefit Plan","NY","Health Plan","4830","04/24/2014","Unauthorized Access/Disclosure","Email","No","\N"
"Sorenson Communications/CaptionCall Group Health Plan","UT","Health Plan","9800","04/24/2014","Hacking/IT Incident","Network Server","Yes","Sorenson Communications filed a breach report on behalf of its CaptionCall Group Health Plan indicating that, between February 20 and March 3, 2014, an unknown third party hacked into the CaptionCall account with Sorenson’s payroll vendor which compromised employment-related information gathered by Sorenson from and about its employees, their dependents, beneficiaries, and/or emergency contacts.  The breach affected approximately 9,800 individuals.  Sorenson provided notice to HHS, affected individuals, and the media.  After verifying the circumstances of the breach and the character of the breached information, OCR closed the breach upon determining that the hacked data constituted employment records, which are excluded from the definition of PHI.  "
"Baylor Medical Center at McKinney","TX","Healthcare Provider","1253","04/25/2014","Hacking/IT Incident","Email","No","\N"
"Baylor Medical Center at Irving","TX","Healthcare Provider","2308","04/25/2014","Hacking/IT Incident","Email","No","\N"
"Baylor Regional Medical Center at Plano","TX","Healthcare Provider","1981","04/25/2014","Hacking/IT Incident","Email","No","\N"
"HealthTexas Provider Network","TX","Healthcare Provider","2742","04/25/2014","Hacking/IT Incident","Email","No","\N"
"Ferguson Advertising, Inc.","IN","Business Associate","1361","04/25/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Iowa Medicaid Enterprise","IA","Health Plan","862","04/25/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Flowers Hospital","AL","Healthcare Provider","629","04/25/2014","Theft","Paper/Films","No","\N"
"Reading Health System","PA","Healthcare Provider","1845","04/29/2014","Loss","Paper/Films","No","\N"
"MDF Transcription Services","MA","Business Associate","15265","04/29/2014","Other","Other","Yes","\N"
"OptumRx","IL","Business Associate","5696","04/30/2014","Theft","Paper/Films","Yes","An employee of the covered entity's (CE) business associate (BA) mistakenly mailed protected health information (PHI) to other individuals due to a human error in sorting the data contained in an Excel spreadsheet.  The mailing affected 5,696 individuals and included names and prescription drug names.  The BA provided breach notification to the affected individuals, HHS, and the media.  As a result of OCR's investigation, OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.  OCR obtained assurances that the BA completed the corrective actions noted above.  The BA also stated that it has developed a plan to improve safeguards by implementing additional quality checks and controls for mailings."
"UMass Memorial Medical Center","MA","Healthcare Provider","2387","05/05/2014","Unauthorized Access/Disclosure","Electronic Medical Record, Paper/Films","No","\N"
"Porter, MD, Steven","UT","","","05/06/2014","","","No",""
"KEYSTONE INSURERS GROUP","IN","Business Associate","1008","05/06/2014","Other","Email","Yes","\N"
"Options Counseling Center","NJ","Healthcare Provider","2828","05/09/2014","Theft, Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Creel Printing","NV","Business Associate","4744","05/10/2014","Other","Paper/Films","Yes","\N"
"Howard L. Weinstein D.P.M.","TX","Healthcare Provider","1000","05/10/2014","Theft","Laptop","No","\N"
"American Health Inc. ","PR","Health Plan","11531","05/18/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Central City Concern","OR","Healthcare Provider","17914","05/19/2014","Unauthorized Access/Disclosure","Other","No","\N"
"Bloom Health","MN","Business Associate","502","05/19/2014","Hacking/IT Incident, Unauthorized Access/Disclosure","Email","Yes","\N"
"Elliot Health System","NH","Healthcare Provider","1208","05/21/2014","Theft","Desktop Computer","No","\N"
"Sutherland Healthcare Solutions, Inc.","NJ","Business Associate","342197","05/22/2014","Theft","Email, Laptop","Yes","\N"
"Humana Inc [case #15381]","KY","Health Plan","2962","05/23/2014","Theft","Other Portable Electronic Device","No","\N"
"Jamaica Hospital Medical Center","NY","Healthcare Provider","26162","05/23/2014","Unauthorized Access/Disclosure","Desktop Computer","No","\N"
"Bay Park Hospital","OH","Healthcare Provider","594","05/28/2014","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No","\N"
"Triple-S Salud ","PR","Health Plan","56853","05/29/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"NFP Maschino, Hudelson & Associates","OK","Business Associate","3814","05/30/2014","Theft","Laptop","Yes","\N"
"Salina Health Education Foundation dba Salina Family Healthcare Center","KS","Healthcare Provider","9640","06/05/2014","Unauthorized Access/Disclosure","Email","No","\N"
"Open Cities Health Center ","MN","Healthcare Provider","1304","06/05/2014","Other","Email","No","\N"
"Mark A. Gillispie","CA","Healthcare Provider","5845","06/06/2014","Theft","Desktop Computer","No","\N"
"Penn State Milton S Hershey Medical Center","PA","Healthcare Provider","1801","06/06/2014","Other","Email, Other Portable Electronic Device","No","\N"
"Walgreen Co.","IL","Healthcare Provider","540","06/06/2014","Theft","Desktop Computer, Paper/Films","No","\N"
"St. Francis Hospital","GA","Healthcare Provider","1175","06/09/2014","Unauthorized Access/Disclosure","Email","No","On May 30, 2014, a staff member sent an email to approximately 1,175 patients that erroneously permitted them to see the email addresses of all recipients.  The covered entity (CE), St. Francis Hospital, investigated the incident, replaced its information technology department leadership and its security officer, and counseled the employee involved.  Additionally, the CE updated its HIPAA policies and trained the entire workforce on its updated policies.  The CE also began upgrading its equipment to better prevent security incidents.  The CE provided breach notification to the affected individuals via e-mail message, sent notification to the media, and placed a conspicuous notice on its website.  In response to OCR’s provision of technical assistance, the CE provided written notification to the affected individuals."
